,id,success,conc_max,min_distance,t_sim,reverse_jaccard,ctm_x,ctm_y,com_distance,var,jaccard_sim,wass,NWD,similarity,Spearman,Pearson,sum_mass,sum_dist,class_0_mf,class_0_ig,class_0_jaccard,class_1_mf,class_1_ig,class_1_jaccard,class_2_mf,class_2_ig,class_2_jaccard,class_3_mf,class_3_ig,class_3_jaccard
10,10,True,1.3537141169143698,97196.28977743718,548.5000000000001,[0.92449923 0.16       0.2        0.        ],1050,2550,1040.7378997502506,13758.487032850695,0.0,1047.140824459633,0.06822279905704381,0.03411139952852191,0.9478798874699719,0.22481864493926024,56.70868336185792,571479571.9745766,1880,1874,0.9244992295839753,88,58,0.16,21,45,0.2,11,23,0.0
11,11,True,1.4336799237898699,130812.22702015325,518.0833333333335,[0.90031646 0.056      0.16546763 0.39189189],1050,2550,150.8165713712644,32255.159826112973,0.375,237.8088103982489,0.543477929952581,0.4592389649762905,0.8996226584056645,0.20160016084702082,45.99149840299044,599391571.7259729,1917,1802,0.9003164556962026,50,66,0.056,22,81,0.16546762589928057,11,51,0.3918918918918919
12,12,True,2.4831581156525,107959.55871327428,457.2500000000001,[0.92560554 0.37007874 0.43434343 0.8       ],1050,2550,53.760213198858104,16917.080633906055,0.6571428571428571,76.42327682963688,0.822047483256066,0.7395951701994616,0.9415853023963255,0.16225330640640434,58.89898823611816,607882748.8330772,1949,1670,0.9256055363321799,22,174,0.3700787401574803,17,71,0.43434343434343436,12,85,0.8
13,13,True,0.7088477839885261,129754.18249567269,670.1666666666666,[0.90922921 0.07352941 0.07462687 0.        ],1050,2550,555.6519893139503,96896.285823099,0.11229946524064172,590.9829247175353,0.21973327981639,0.16601637252851587,0.9180035280008818,0.25499261489323977,55.17657591246061,612943184.3629067,1803,1883,0.9092292089249493,95,73,0.07352941176470588,61,36,0.07462686567164178,41,8,0.0
14,14,True,1.4420961184310137,100628.89840717694,426.8333333333334,[0.93772517 0.09278351 0.10714286 0.39583333],1050,2550,171.97562991293447,52751.132409253754,0.38461538461538464,296.78056490225856,0.4672102972138237,0.42591284091460413,0.9611006192751548,0.2164028486021502,47.00389616440983,570926852.4288914,1879,1883,0.9377251672671127,94,53,0.09278350515463918,18,31,0.10714285714285714,9,33,0.3958333333333333
15,15,True,1.170919669763852,109947.10467872366,518.0833333333335,[0.92287513 0.14503817 0.12727273 0.        ],1050,2550,221.56137611602472,140933.74937226507,0.10144927536231885,331.60048488949377,0.42730482115454255,0.26437704825843067,0.9102762505690626,0.2332193175561974,50.9676205123514,560691484.3476598,1883,1833,0.922875131164743,65,75,0.1450381679389313,42,62,0.12727272727272726,10,30,0.0
16,16,True,2.0224693601531682,119471.95978641049,457.2500000000001,[0.92572006 0.04347826 0.         0.        ],1050,2550,287.1450103074132,70414.02778805583,0.03225806451612903,315.19669784649284,0.445661019839912,0.2389595421780205,0.8461972815493203,0.20410143745981124,47.99549971848973,610568044.3049998,1911,1906,0.9257200606366852,53,36,0.043478260869565216,28,34,0.0,8,24,0.0
17,17,True,0.8246775638694852,221199.65936542302,974.3333333333329,[0.84444444 0.02994012 0.06451613 0.26111111],1050,2550,208.19474387967597,79382.32027547836,0.20279720279720279,289.87266651186286,0.4755595123255864,0.3391783575613946,0.934187876546969,0.2757296653782766,54.06699489753356,823245802.5195501,1810,1702,0.8444444444444444,122,86,0.029940119760479042,47,99,0.06451612903225806,21,113,0.2611111111111111
18,18,True,0.983291128358887,138357.86187236613,670.1666666666666,[0.91253792 0.1        0.02631579 0.        ],1050,2550,537.9933136717924,136433.16508074792,0.01694915254237288,590.2506529715433,0.22014624295938579,0.11854769775087934,0.9442524485631121,0.2435304764083085,55.158413605082984,647820125.9209384,1847,1892,0.9125379170879676,93,44,0.1,38,39,0.02631578947368421,22,25,0.0
19,19,True,1.585576999323437,131466.75340755092,518.0833333333335,[0.96748374 0.         0.         0.        ],1050,2550,703.4672918322246,34948.58139028315,0.0,710.3908589035991,0.1617804640767213,0.08089023203836065,0.9329559982389996,0.16397827054683195,43.84578208323299,630786978.2451549,1933,1967,0.9674837418709354,42,20,0.0,12,8,0.0,13,5,0.0
