,id,success,conc_max,min_distance,t_sim,ctm_x,ctm_y,com_distance,var,jaccard_sim,wass,NWD,similarity,Spearman,Pearson
0,0,True,2.9270761199619315,100991.98053103652,487.6666666666668,2011.8216247,2950.46369633,790.5717540014011,5120.015674007576,0.04,814.8560514688374,0.1237645274428623,0.08188226372143115,0.9406635746658936,0.18470887593109014
1,1,True,2.4227362955737615,106367.18893016608,548.5000000000001,1644.15961272,2948.64944714,778.6205751198719,8557.257890098688,0.05263157894736842,809.3979243857746,0.12550881381221748,0.08907019637979295,0.94003412050853,0.20144755270756085
2,2,True,1.3724668512714377,107313.03224736555,487.6666666666668,1811.83145201,2423.32644897,162.57634457932608,35610.67587139898,0.4909090909090909,338.7341932231473,0.41955979965848994,0.4552344452837904,0.9529964352491088,0.2014031678105903
3,3,True,1.5422785806194714,80818.29176035106,335.58333333333337,2327.70259382,2409.19913637,104.95398831863565,27342.955160169415,0.5416666666666666,289.3959225697557,0.4761412014197884,0.5089039340432275,0.9520574395143598,0.18463494588430213
4,4,True,1.8365249776063537,85890.54309182221,366.00000000000006,2049.59368767,2027.55911324,118.61332048075859,19318.330076467177,0.5102040816326531,310.3235016489659,0.4512646582169311,0.4807343699247921,0.9611414372853594,0.18321866466742603
5,5,True,1.2068866727410086,87614.30134242804,366.00000000000006,2253.51310867,2538.14331322,77.11623421982517,70641.65827296479,0.5789473684210527,247.93592362185487,0.5295471151256452,0.5542472417733489,0.9524347796086949,0.2000229961978372
6,6,True,1.7854632829051202,101393.46517691559,487.6666666666668,1829.7317165,2788.42870343,37.116491954736446,116453.19455766783,0.6986301369863014,159.41551509063638,0.6644751945631764,0.6815526657747388,0.9496142899035723,0.2231230071436216
7,7,True,1.3724668512714377,107313.03224736555,487.6666666666668,1803.19482929,2453.49788948,162.57634457932608,35610.67587139898,0.4909090909090909,338.7341932231473,0.41955979965848994,0.4552344452837904,0.9529964352491088,0.2014031678105903
8,8,True,1.1688653573186931,111578.0197259285,518.0833333333335,1634.04169725,2403.11298645,196.13975881667164,35376.73133431195,0.47368421052631576,370.08686239082516,0.38715092581319516,0.43041756816975546,0.9562508630627158,0.20435999303011568
9,9,True,1.2733127370565616,112025.78851960828,487.6666666666668,1703.45524068,2262.31334044,107.4554782964117,18974.00536586575,0.5,304.03272428457007,0.4586026693574822,0.4793013346787411,0.9640783060195763,0.19021630758953903
10,10,True,1.9713678445587695,95853.70010193922,426.8333333333334,2011.8216247,2950.46369633,355.26739713825094,37563.956680196694,0.3333333333333333,487.56867648128735,0.2864543496576227,0.309893841495478,0.9563614715903679,0.1738825432149947
11,11,True,1.7381504283432312,101731.79371208913,487.6666666666668,1644.15961272,2948.64944714,399.4878186395416,36926.80662272002,0.3181818181818182,526.8849576716816,0.258984498363278,0.2885831582725481,0.9563426030856508,0.18577857341502318
12,12,True,0.9103834591794581,104245.77728290488,487.6666666666668,1811.83145201,2423.32644897,181.75469751535786,198619.60554466536,0.4107142857142857,282.70282290056696,0.48438315975123813,0.4475487227327619,0.9651227382806845,0.25671423832763307
13,13,True,0.8381285748935035,80067.3641782607,335.58333333333337,2327.70259382,2409.19913637,125.32234661496277,196019.88942030218,0.4897959183673469,210.49110871795764,0.5829109833070323,0.5363534508371897,0.9619125949781487,0.23464778734011926
14,14,True,1.136898170851625,85139.61550973186,366.00000000000006,2049.59368767,2027.55911324,205.4720446312722,206706.95324434547,0.325,313.0796510866337,0.4480867906863751,0.38654339534318755,0.9606931426732855,0.21791562837142864
15,15,True,1.2038677363428982,85764.36607662283,366.00000000000006,2253.51310867,2538.14331322,121.39521367743149,201537.59876366367,0.525,182.05903384144037,0.6269941707192793,0.5759970853596397,0.9660605985151496,0.2342424221706114
16,16,True,1.788648248784142,96758.06995883862,457.2500000000001,1829.7317165,2788.42870343,399.4878186395416,36926.80662272002,0.3181818181818182,526.8849576716816,0.258984498363278,0.2885831582725481,0.9629212912303228,0.209289768123449
17,17,True,0.9103834591794581,104245.77728290488,487.6666666666668,1803.19482929,2453.49788948,181.75469751535786,198619.60554466536,0.4107142857142857,282.70282290056696,0.48438315975123813,0.4475487227327619,0.9651227382806845,0.25671423832763307
18,18,True,0.8405043235003513,107409.56649126839,518.0833333333335,1634.04169725,2403.11298645,182.69494083375707,197848.97641682855,0.391304347826087,289.27441556418364,0.4762895693813764,0.4337969586037317,0.9660152265038067,0.2600610870101423
19,19,True,1.1130031400759495,111274.86093751792,518.0833333333335,1703.45524068,2262.31334044,192.08942174743936,208830.90375144553,0.3617021276595745,286.7006550829628,0.47944318253524737,0.42057265509741093,0.9691674787918697,0.24386983526382006
20,20,True,0.6827094956759885,54128.21576835692,213.91666666666666,2011.8216247,2950.46369633,93.33363702574468,255393.79475854602,0.8103448275862069,141.8626095911111,0.6950647439435552,0.752704785764881,0.9605373751343437,0.3004666364288327
21,21,True,0.5990290711080106,60986.223397310365,244.33333333333331,1644.15961272,2948.64944714,77.27406415955808,263240.7142092765,0.8181818181818182,118.84864324004714,0.7373149696383713,0.7777483939100948,0.964126468031617,0.3067125985868417
22,22,True,0.5113342184890127,60113.53434836157,213.91666666666666,1811.83145201,2423.32644897,85.71560845540228,259397.52259253678,0.8260869565217391,131.339255365637,0.7140749705029341,0.7700809635123367,0.9498655324663831,0.29855474522764325
23,23,True,0.5070213914950248,33618.79386134709,122.66666666666667,2327.70259382,2409.19913637,110.7686725076672,261774.44210124353,0.7884615384615384,158.43234029582754,0.6661524238488831,0.7273069811552108,0.9520614490153623,0.2783463500969463
24,24,True,0.6983652931967881,37619.885830375155,153.08333333333334,2049.59368767,2027.55911324,105.29604749338213,262587.73275347665,0.8095238095238095,152.60889123576814,0.6761739934328421,0.7428489014783258,0.957629007907252,0.2892603896563338
25,25,True,0.6284120936730403,40552.42368487314,153.08333333333334,2253.51310867,2538.14331322,100.02263211526093,259775.43067530403,0.8076923076923077,149.82259012124405,0.6810221228774086,0.7443572152848581,0.9517705809426451,0.2886944903824392
26,26,True,0.639998417313877,56012.49964405987,213.91666666666666,1829.7317165,2788.42870343,93.33363702574468,255393.79475854602,0.8103448275862069,141.8626095911111,0.6950647439435552,0.752704785764881,0.9580795525198881,0.29974956257339347
27,27,True,0.5113342184890127,60113.53434836157,213.91666666666666,1803.19482929,2453.49788948,85.71560845540228,259397.52259253678,0.8260869565217391,131.339255365637,0.7140749705029341,0.7700809635123367,0.9498655324663831,0.29855474522764325
28,28,True,0.5478739224882268,65638.35103898065,244.33333333333331,1634.04169725,2403.11298645,99.07457159593032,259473.5822384174,0.7966101694915254,143.61406616345073,0.6919502664141549,0.7442802179528402,0.9524864531216133,0.30268416889278804
29,29,True,0.6591760854260721,63764.550418292776,244.33333333333331,1703.45524068,2262.31334044,78.70404411691109,254736.6688967758,0.8151260504201681,121.50198138911759,0.7323157233028132,0.7737208868614907,0.9560284265071065,0.3051708315491981
30,30,True,0.578933661476157,54495.57786891487,213.91666666666666,2011.8216247,2950.46369633,41.9432128598501,179818.82618091,0.8307692307692308,81.47794463647742,0.8114619295874466,0.8211155801783387,0.9236107379026846,0.29350026260935935
31,31,True,0.42364667317246235,62521.67455652925,213.91666666666666,1644.15961272,2948.64944714,18.907128246748105,143246.79637032884,0.8230088495575221,85.82834528504512,0.8024604728408088,0.8127346611991655,0.9195983763995941,0.2846580440030805
32,32,True,0.48996966544075937,63690.13360345909,244.33333333333331,1811.83145201,2423.32644897,55.481243702514234,181172.7453873285,0.8181818181818182,88.94637897819861,0.796070413080904,0.8071261156313612,0.9369109157277289,0.2956958573193222
33,33,True,0.5073146302889621,40293.16291997279,153.08333333333334,2327.70259382,2409.19913637,50.26238551799114,176969.81968877083,0.8064516129032258,86.08550566567109,0.8019315163796905,0.8041915646414581,0.9335372498843124,0.2792282397751954
34,34,True,0.43193716317390496,51098.15707010371,183.5,2049.59368767,2027.55911324,66.0074832668406,188752.20465150202,0.8320610687022901,90.62859188284158,0.7926440645520954,0.8123525666271927,0.956308076077019,0.2838321745817135
35,35,True,0.64978102649485,45208.72239717703,183.5,2253.51310867,2538.14331322,45.87801400338457,179364.1699107113,0.813953488372093,85.17202301386008,0.8038120525628722,0.8088827704674826,0.9322434575608645,0.2876535099018534
